167-169,,,Hegira Dates,Date Range 1,Date Range 2
"????? ??? ????‘?? – 23 ???., ??? 12,0%",23120,231,231,845,846
"??-???, 295 ?. ?. (3 ???.)",2953,295,295,907,908
"??-???, 296 ?. ?. (3 ???.)",2963,296,296,908,909
"??-???, 298 ?. ?. (3 ???.)",2983,298,298,910,911
"??-???, 299 ?. ?. (2 ???.)",2992,299,299,911,912
"??-???, 300 ?. ?. (4 ???.)",3004,300,300,912,913
"??-???, 301 (?) ?. ?. (1 ???.)",3011,301,301,913,914
"?????????, 295 ?. ?. (1 ???.)",2951,295,295,907,908
"?????????, 296 ?. ?. (1 ???.)",2961,296,296,908,909
"?????????, 297 ?. ?. (1 ???.)",2971,297,297,909,910
"?????????, 299 ?. ?. (1 ???.)",2991,299,299,911,912
"????????, 298 ?. ?. (1 ???.)",2981,298,298,910,911
"????????, 299 ?. ?. (1 ???.)",2991,299,299,911,912
????????? 299 ?. ?. (1 ???.),2991,299,299,911,912
"???? ??? ????? – 127 ???., ??? 66,1%",127661,127,127,744,745
"??-???, 302 ?. ?. (1 ???.)",3021,302,302,914,915
"??-???, 308 ?. ?. (1 ???.)",3081,308,308,920,921
"??-???, 309 ?. ?. (1 ???.)",3091,309,309,921,922
"??-???, 310 ?. ?. (3 ???.)",3103,310,310,922,923
"??-???, 311 ?. ?. (3 ???.)",3113,311,311,923,924
"??-???, 312 ?. ?. (2 ???.)",3122,312,312,924,925
"??-???, 315 ?. ?. (2 ???.)",3152,315,315,927,928
"??-???, 316 ?. ?. (11 ???.)",31611,316,316,928,929
"??-???, 317 ?. ?. (8 ???.)",3178,317,317,929,930
"??-???, 318 ?. ?. (1 ???.)",3181,318,318,930,931
"??-???, 319 ?. ?. (3 ???.)",3193,319,319,931,932
"??-???, 320 ?. ?. (2 ???.)",3202,320,320,932,NA
"??-???, 323 ?. ?. (4 ???.)",3234,323,323,934,935
"??-???, 324 ?. ?. (2 ???.)",3242,324,324,935,936
"??-???, ???? (2 ???.)",2,2,2,623,624
"?????????, 280 ?. ?. (?????? ???????? ?. ?.; 1 ???.)",2801,280,280,893,894
"?????????, 301 ?. ?. (1 ???.)",3011,301,301,913,914
"?????????, 302 ?. ?. (3 ???.)",3023,302,302,914,915
"?????????, 303 ?. ?. (3 ???.)",3033,303,303,915,916
"?????????, 304 ?. ?. (3 ???.)",3043,304,304,916,917
"?????????, 306 ?. ?. (1 ???.)",3061,306,306,918,919
"?????????, 307 ?. ?. (1 ???.)",3071,307,307,919,920
"?????????, 308 ?. ?. (2 ???.)",3082,308,308,920,921
"?????????, 309 ?. ?. (3 ???.)",3093,309,309,921,922
"?????????, 310 ?. ?. (3 ???.)",3103,310,310,922,923
"?????????, 311 ?. ?. (8 ???.)",3118,311,311,923,924
"?????????, 312 ?. ?. (1 ???.)",3121,312,312,924,925
"?????????, 313 ?. ?. (1 ???.)",3131,313,313,925,926
"?????????, 314 ?. ?. (3 ???.)",3143,314,314,926,927
Xram.indd 173 28.05.2013 14:13:19,1.73281E+16,173,173,789,790
???. ?. ???????,#VALUE!,#VALUE!,0,NA,NA
"?????????, 315 ?. ?. (2 ???.)",3152,315,315,927,928
"?????????, 316 ?. ?. (1 ???.)",3161,316,316,928,929
"?????????, 317 ?. ?. (2 ???.)",3172,317,317,929,930
"?????????, 318 ?. ?. (3 ???.)",3183,318,318,930,931
"?????????, 31[×] ?. ?. (1 ???.)",311,311,311,923,924
"?????????, 320 ?. ?. (6 ???.)",3206,320,320,932,NA
"?????????, 321 ?. ?. (4 ???.)",3214,321,321,933,NA
"?????????, 322 ?. ?. (6 ???.)",3226,322,322,933,934
"?????????, 323 ?. ?. (4 ???.)",3234,323,323,934,935
"?????????, 324 ?. ?. (1 ???.)",3241,324,324,935,936
"?????????, 32[×] ?. ?. (3 ???.)",323,323,323,934,935
"????????, 303 (?) ?. ?. (1 ???.)",3031,303,303,915,916
"????????, 304 ?. ?. (1 ???.)",3041,304,304,916,917
"????????, 305 ?. ?. (1 ???.)",3051,305,305,917,918
"????????, 308 ?. ?. (1 ???.)",3081,308,308,920,921
"????????, 3[××] ?. ?. (1 ???.)",31,31,31,651,652
"????, 302 ?. ?. (1 ???.)",3021,302,302,914,915
"????, 315 ?. ?. (1 ???.)",3151,315,315,927,928
"????, 316 (?) ?. ?. (1 ???.)",3161,316,316,928,929
"????, 301 ?. ?. (1 ???.)",3011,301,301,913,914
"???????, 306 ?. ?. (1 ???.)",3061,306,306,918,919
"???????, 31[×] ?. ?. (1 ???.)",311,311,311,923,924
????? ???????? 300 ?. ?. (????????? ?????? ???????? ?. ?.?; 1 ???.),3001,300,300,912,913
"????? ??????? ??????, 309 ?. ?. (1 ???.)",3091,309,309,921,922
"????? ??????? ??????, 318 ?. ?. (1 ???.)",3181,318,318,930,931
