reg.nr,Dy0sti,Myntort och årtal,AD,gram,kondition,"""fynd""","""fynd""",Hegira Date 1,X,Date Range 1,Date range 2,2 Date Range 1,2 Date Range 2
197,Ab1,0,0,0,f 3n,1:x,0,0,0,0,0,0,0
169,Ab1,0,0,0,f 1n,1:x,0,0,0,0,0,0,0
129,Ab1,0,0,0,f 5n,1:oreg.,0,0,0,0,0,0,0
170,Ab1,0,0,0,f,1:x,0,0,0,0,0,0,0
128,Ab1,0,0,0,f 2n,1:oreg.,0,0,0,0,0,0,0
171,Ab1,0,0,0,f 1n,1:x,0,0,0,0,0,0,0
144,Ab1,0,0,0,f,1:x,0,0,0,0,0,0,0
172,Ab1,0,0,0,f 5n.,1:x,0,0,0,0,0,0,0
117,Ab1,0,0,0,f 2n,1:oreg.,0,0,0,0,0,0,0
173,Ab1,0,0,0,f,1:x,0,0,0,0,0,0,0
119,Ab1,0,0,0,f,1:oreg.,0,0,0,0,0,0,0
174,Ab1,0,0,0,f,1:x,0,0,0,0,0,0,0
121,Ab1,0,0,0,f,1:oreg.,0,0,0,0,0,0,0
175,Ab1,0,0,0,f 1n,1:x,0,0,0,0,0,0,0
123,Ab1,0,0,0,f 2n,1:oreg.,0,0,0,0,0,0,0
176,Ab1,0,0,0,f,1:x,0,0,0,0,0,0,0
125,Ab1,0,0,0,f 1n,1:oreg.,0,0,0,0,0,0,0
177,Ab1,0,0,0,f .,1:x,0,0,0,0,0,0,0
188,Ab1,0,0,0,f,1:x,0,0,0,0,0,0,0
178,Ab1,0,0,0,f,1:x,0,0,0,0,0,0,0
160,Ab1,0,0,0,f,1:x,0,0,0,0,0,0,0
179,Ab1,0,0,0,f 4n.,1:x,0,0,0,0,0,0,0
149,Ab1,0,0,0,f,1:x,0,0,0,0,0,0,0
180,Ab1,0,0,0,f .,1:x,0,0,0,0,0,0,0
207,Ab1,0,0,0,f 9n,1:x,0,0,0,0,0,0,0
181,Ab1,0,0,0,f,1:x,0,0,0,0,0,0,0
153,Ab1,0,0,0,f 2n,1:x,0,0,0,0,0,0,0
182,Ab1,0,0,0,f 2n,1:x,0,0,0,0,0,0,0
199,Ab1,0,0,0,f,1:x,0,0,0,0,0,0,0
183,Ab1,0,0,0,f,1:x,0,0,0,0,0,0,0
157,Ab1,0,0,0,f 1n,1:x,0,0,0,0,0,0,0
184,Ab1,0,0,0,f,1:x,0,0,0,0,0,0,0
189,Ab1,0,0,0,f 5n.,1:x,0,0,0,0,0,0,0
185,Ab1,0,0,0,f 2n,1:x,0,0,0,0,0,0,0
161,Ab1,0,0,0,f 1n,1:x,0,0,0,0,0,0,0
186,Ab1,0,0,0,f 3n,1:x,0,0,0,0,0,0,0
110,Ab1,0,0,0,f,1:oreg.,0,0,0,0,0,0,0
187,Ab1,0,0,0,f 1n,1:x,0,0,0,0,0,0,0
165,Ab1,0,0,0,f .,1:x,0,0,0,0,0,0,0
108,Ab1,0,0,0,f,1:oreg.,0,0,0,0,0,0,0
191,Ab1,0,0,0,f,1:x,0,0,0,0,0,0,0
201,Ab1,0,0,0,f .,1:x,0,0,0,0,0,0,0
131,Ab1,0,0,0,f,1:x,0,0,0,0,0,0,0
209,Ab1,0,0,0,f,1:x,0,0,0,0,0,0,0
106,Ab1,0,0,0,f 1n,1:oreg.,0,0,0,0,0,0,0
192,Ab1,0,0,0,f 2n,1:x,0,0,0,0,0,0,0
139,Ab1,0,0,0,f 1n,1:x,0,0,0,0,0,0,0
99,Ab1,0,0,0,f 4n,1:oreg.,0,0,0,0,0,0,0
193,Ab1,0,0,0,f,1:x,0,0,0,0,0,0,0
107,Ab1,0,0,0,f,1:oreg.,0,0,0,0,0,0,0
147,Ab1,0,0,0,f 6n,1:x,0,0,0,0,0,0,0
104,Ab1,0,0,0,f 2n,1:oreg.,0,0,0,0,0,0,0
102,Ab1,0,0,0,f 17n.,1:oreg.,0,0,0,0,0,0,0
205,Ab1,0,0,0,f,1:x,0,0,0,0,0,0,0
156,Ab1,0,0,0,f 4n,1:x,0,0,0,0,0,0,0
194,Ab1,0,0,0,f,1:x,0,0,0,0,0,0,0
195,Ab1,0,0,0,f 2n,1:x,0,0,0,0,0,0,0
111,Ab1,0,0,0,f,1:oreg.,0,0,0,0,0,0,0
198,Ab1,0,0,0,f,1:x,0,0,0,0,0,0,0
162,Ab1,0,0,0,f 2n,1:x,0,0,0,0,0,0,0
196,Ab1,0,0,0,f 3n,1:x,0,0,0,0,0,0,0
